Date,Infected individuals,Recovered individuals,Death caused by COVID-19
2020/1/27,1,0,0
2020/1/28,4,0,0
2020/1/29,4,0,0
2020/1/30,4,0,0
2020/1/31,5,0,0
2020/2/1,8,0,0
2020/2/2,10,0,0
2020/2/3,12,0,0
2020/2/4,12,0,0
2020/2/5,12,0,0
2020/2/6,12,0,0
2020/2/7,13,0,0
2020/2/8,13,0,0
2020/2/9,14,0,0
2020/2/10,14,0,0
2020/2/11,16,0,0
2020/2/12,16,0,0
2020/2/13,16,1,0
2020/2/14,16,1,0
2020/2/15,16,1,0
2020/2/16,16,1,0
2020/2/17,16,1,0
2020/2/18,16,12,0
2020/2/19,16,12,0
2020/2/20,16,12,0
2020/2/21,16,14,0
2020/2/22,16,14,0
2020/2/23,16,14,0
2020/2/24,16,14,0
2020/2/25,17,14,0
2020/2/26,27,15,0
2020/2/27,46,16,0
2020/2/28,48,16,0
2020/2/29,79,16,0
2020/3/1,130,16,0
2020/3/2,159,16,0
2020/3/3,196,16,0
2020/3/4,262,16,0
2020/3/5,482,16,0
2020/3/6,670,17,0
2020/3/7,799,18,0
2020/3/8,1040,18,0
2020/3/9,1176,18,2
2020/3/10,1457,18,2
2020/3/11,1908,25,3
2020/3/12,2078,25,3
2020/3/13,3675,46,7
2020/3/14,4585,46,9
2020/3/15,5795,46,11
2020/3/16,7272,67,17
2020/3/17,9257,67,24
2020/3/18,12327,105,28
2020/3/19,15320,113,44
2020/3/20,19848,180,67
2020/3/21,22213,233,84
2020/3/22,24873,266,94
2020/3/23,29056,266,123
2020/3/24,32986,3243,157
2020/3/25,37323,3547,206
2020/3/26,43938,5673,267
2020/3/27,50871,6658,342
2020/3/28,57695,8481,433
2020/3/29,62095,9211,533
2020/3/30,66885,13500,645
2020/3/31,71808,16100,775
2020/4/1,77872,18700,920
2020/4/2,84794,22440,1107
2020/4/3,91159,24575,1275
2020/4/4,96092,26400,1444
2020/4/5,100123,28700,1584
2020/4/6,103374,28700,1810
2020/4/7,107663,36081,2016
2020/4/8,113296,46300,2349
2020/4/9,118181,52407,2607
2020/4/10,122171,53913,2767
2020/4/11,124908,57400,2736
2020/4/12,127854,60300,3022
2020/4/13,130072,64300,3194
2020/4/14,131359,68200,3294
2020/4/15,134753,72600,3804
2020/4/16,137698,77000,4052
2020/4/17,141397,83114,4352
2020/4/18,143342,85400,4459
2020/4/19,145184,88000,4586
2020/4/20,147065,91500,4862
2020/4/21,148291,95200,5033
2020/4/22,150648,99400,5279
2020/4/23,153129,103300,5575
2020/4/24,154999,109800,5760
2020/4/25,156513,109800,5877
2020/4/26,157770,112000,5976
2020/4/27,158758,114500,6126
2020/4/28,159912,117400,6314
2020/4/29,161539,120400,6467
2020/4/30,163009,123500,6623
2020/5/1,164077,126900,6736
2020/5/2,164967,129000,6812
2020/5/3,165664,130600,6866
2020/5/4,166152,132700,6993
2020/5/5,167007,135100,6993
2020/5/6,168162,139900,7275
2020/5/7,169430,141700,7392
2020/5/8,170588,141700,7510
2020/5/9,171324,143300,7549
2020/5/10,171879,144400,7569
2020/5/11,172576,145617,7661
2020/5/12,173171,147200,7738
2020/5/13,174098,148700,7861
2020/5/14,174478,150300,7884
2020/5/15,175233,151597,7897
2020/5/16,175752,152600,7938
2020/5/17,176369,154011,7962
2020/5/18,176551,155041,8003
2020/5/19,177778,155681,8081
2020/5/20,178473,156966,8144
2020/5/21,179021,158087,8203
2020/5/22,179710,159064,8228
2020/5/23,179986,159716,8261
2020/5/24,180328,160281,8283
2020/5/25,180600,161199,8309
2020/5/26,181200,161967,8372
2020/5/27,181524,162820,8428
2020/5/28,182196,163360,8470
2020/5/29,182922,164245,8504
2020/5/30,183189,164908,8530
2020/5/31,183410,165352,8540
2020/6/1,183594,165632,8555
2020/6/2,183879,166609,8563
2020/6/3,184121,167453,8602
2020/6/4,184472,167909,8635
2020/6/5,184924,168480,8658
2020/6/6,185450,168958,8673
2020/6/7,185750,169224,8685
2020/6/8,186109,169556,8695
2020/6/9,186506,170129,8736
2020/6/10,186522,170630,8752
2020/6/11,186691,170961,8772
2020/6/12,187226,171535,8783
2020/6/13,187267,171970,8793
2020/6/14,187518,172089,8801
2020/6/15,187682,172692,8807
2020/6/16,188252,172842,8820
2020/6/17,188604,173599,8851
2020/6/18,189817,173847,8875
2020/6/19,190299,173972,8887
2020/6/20,190670,174609,8895
2020/6/21,191272,174740,8895
2020/6/22,191768,175143,8899
2020/6/23,192480,175825,8914
2020/6/24,192871,176422,8928
2020/6/25,193371,176764,8940
2020/6/26,194036,177149,8965
2020/6/27,194458,177518,8968
2020/6/28,194693,177657,8968
2020/6/29,195042,177770,8976
2020/6/30,195418,178100,8990
2020/7/1,195893,179100,8995
2020/7/2,196370,179800,9006
2020/7/3,196780,180300,9010
2020/7/4,197198,181000,9020
2020/7/5,197523,181719,9023
2020/7/6,198064,182160,9022
2020/7/7,198343,182661,9032
2020/7/8,198699,183153,9046
2020/7/9,199001,183728,9057
2020/7/10,199332,184028,9063
2020/7/11,199709,184266,9070
2020/7/12,199919,184414,9071
2020/7/13,200180,185100,9074
2020/7/14,200456,185100,9078
2020/7/15,200890,186000,9080
2020/7/16,201450,186400,9087
2020/7/17,202045,186900,9088
2020/7/18,202426,187200,9091
2020/7/19,202735,187400,9092
2020/7/20,203325,188070,9094
2020/7/21,203717,188221,9099
2020/7/22,204276,188628,9102
2020/7/23,204881,189140,9110
2020/7/24,205623,189696,9120
2020/7/25,206278,189919,9124
2020/7/26,206667,190055,9124
2020/7/27,207112,190314,9125
2020/7/28,207707,190711,9131
2020/7/29,208546,191279,9135
2020/7/30,209535,191551,9144
2020/7/31,210399,191992,9147
2020/8/1,211005,192636,9154
2020/8/2,211220,192908,9154
2020/8/3,212111,193594,9154
2020/8/4,212828,194173,9163
2020/8/5,214113,194568,9179
2020/8/6,215039,195281,9181
2020/8/7,216196,195935,9195
2020/8/8,216903,196550,9201
2020/8/9,217288,196783,9202
2020/8/10,218508,197382,9203
2020/8/11,219540,198347,9208
2020/8/12,220859,198991,9213
2020/8/13,222281,199654,9217
2020/8/14,223791,200440,9230
2020/8/15,224488,200756,9235
2020/8/16,225007,201187,9235
2020/8/17,226700,202249,9236
2020/8/18,228120,203677,9241
2020/8/19,229706,204454,9249
2020/8/20,231292,205359,9263
2020/8/21,233029,206656,9266
2020/8/22,233861,207606,9272
2020/8/23,234494,207985,9275
2020/8/24,236122,208653,9276
2020/8/25,237583,210333,9281
2020/8/26,239010,211691,9285
2020/8/27,240571,212909,9290
2020/8/28,242126,214186,9290
2020/8/29,242835,214790,9299
2020/8/30,243305,215283,9300
2020/8/31,244802,216795,9303
2020/9/1,246015,218403,9307
2020/9/2,247411,219904,9322
2020/9/3,248840,221525,9322
2020/9/4,250283,222802,9327
2020/9/5,251058,223570,9329
2020/9/6,251728,224215,9330
2020/9/7,253626,225704,9331
2020/9/8,254957,227379,9336
2020/9/9,256433,228784,9342
2020/9/10,258149,230283,9345
2020/9/11,259735,231349,9348
2020/9/12,260817,231953,9352
2020/9/13,261737,232541,9354
2020/9/14,263222,234017,9356
2020/9/15,265014,235112,9367
