Date,USA,India,Brazil,Russia,Peru,Colombia,Turkey,Germany
02/08/24,0.4,,,,,,,
02/09/24,1,,,,,,,
02/10/24,1,,,,,,,
02/11/24,0.6,,,,,,,
02/12/24,1.4,,,,,,,
02/13/24,1,,,,,,,1
02/14/24,1,,,,,,,0.4
02/15/24,1,,,,,,,0.3
02/16/24,1,,,,,,,0.7
02/17/24,1,,,,,,,0.5
02/18/24,1,,,,,,,0.7
02/19/24,1,,,,,,,0.7
02/20/24,1,,,,,,,0.4
02/21/24,1,,,,,,,1
02/22/24,1,,,,,,,0.7
02/23/24,1,,,,,,,1.6
02/24/24,0.7,,,,,,,1.5
02/25/24,1.2,,,,,,,1.9
02/26/24,1.2,,,,,,,2.2
02/27/24,1.6,,,,,,,2.3
02/28/24,2,,,,,,,2.6
02/29/24,2.2,,,,,,,3.1
03/01/24,2.6,,,1,,,,4.5
03/02/24,2.9,,,2,,,,5.5
03/03/24,3.6,,,1.8,,,,6.2
03/04/24,4,,,1.6,,,,7.8
03/05/24,3.9,,,2,,,,7.9
03/06/24,4.3,2.4,,1.9,,,,9.4
03/07/24,5.5,2.2,,1.9,,,,11.4
03/08/24,6.4,2.6,,1.8,,,,11
03/09/24,7.3,2.3,,3,,,,16.3
03/10/24,8.3,2.8,,2.5,,,,16.8
03/11/24,7.3,2.6,,2.7,,,,17.8
03/12/24,8.8,2,,2.6,,,,18.6
03/13/24,9.6,2.2,,2.9,,,,19.7
03/14/24,9.5,2.1,20.7,3.7,,,,21
03/15/24,10.4,2.1,22.6,3.3,,,22.5,21
03/16/24,11.2,2.4,22,4,13.2,18.3,41.5,20.5
03/17/24,11,2.7,18.9,4.2,18.3,21.2,38,17.7
03/18/24,11.4,2.8,18.2,4.4,13.2,13.2,23.6,15.1
03/19/24,11.6,2.8,16.1,4.6,14.2,10.2,17.9,14.2
03/20/24,11,2.7,13.8,4.8,11.4,13.9,14.8,5.7
03/21/24,10.2,2.9,11.4,4.9,9.7,10,12.1,4.1
03/22/24,9.6,2.7,9.6,5,7.1,8.7,12,3.1
03/23/24,8.9,2.7,8.6,5.2,5.9,7,13.2,2.6
03/24/24,8.1,2.5,7.3,4.9,4.3,6.4,12.5,2.2
03/25/24,6.7,2.3,6.4,5,4.7,6.1,11.4,1.9
03/26/24,5.4,2.3,4.8,5,3.5,5.4,9.6,1.7
03/27/24,4.6,2.2,4.4,4.9,1.5,4.6,8.6,1.5
03/28/24,4,2.5,4.1,4.2,1.6,4.4,7.4,1.4
03/29/24,3.6,2.6,3.9,4.2,1.3,3.6,6.5,1.4
03/30/24,3.3,2.4,3.7,3.8,1.3,3.2,5.9,1.3
03/31/24,2.9,2.4,3.5,3.4,1.1,2.9,5,1.3
04/01/24,2.6,2.4,3.3,3.2,1.2,2.5,4.2,1.2
04/02/24,2.4,2.6,3.1,3.2,1.3,2.4,3.7,1.2
04/03/24,2.2,2.6,3.1,3.1,1.2,2.3,3.3,1.1
04/04/24,2.1,2.4,3.2,3,1.4,2.2,3.1,1.1
04/05/24,2,2.3,3,2.9,1.5,2,2.8,1
04/06/24,1.9,2.1,2.8,3,1.5,1.9,2.7,1
04/07/24,1.8,2,2.6,2.8,1.5,1.9,2.5,1
04/08/24,1.7,1.9,2.5,2.7,1.5,1.7,2.4,1
04/09/24,1.6,1.9,2.3,2.7,1.6,1.6,2.2,1
04/10/24,1.5,1.8,1.8,2.7,1.5,1.5,2.1,1
04/11/24,1.5,1.7,1,2.6,1.5,1.4,2,0.9
04/12/24,1.4,1.6,1,2.5,1.3,1.3,1.8,1
04/13/24,1.4,1.5,1.1,2.5,1.2,1.2,1.7,1
04/14/24,1.3,1.5,1.1,2.5,1.2,1.2,1.6,1
04/15/24,1.3,1.5,0.9,2.5,1.2,1.2,1.4,1
04/16/24,1.3,1.4,1,2.4,1.1,1.1,1.4,1
04/17/24,1.3,1.4,1,2.4,1.2,1.1,1.3,0.9
04/18/24,1.3,1.3,0.9,2.3,1.1,1.2,1.3,0.9
04/19/24,1.3,1.3,1,2.3,1.2,1.2,1.2,0.9
04/20/24,1.2,1.3,1.1,2.2,1.1,1.2,1.2,0.9
