Date,Infected individuals,Recovered individuals,Death caused by COVID-19
2020/3/11,1,0,0
2020/3/12,1,0,0
2020/3/13,5,0,0
2020/3/14,5,0,0
2020/3/15,6,0,0
2020/3/16,18,0,0
2020/3/17,47,0,1
2020/3/18,98,0,1
2020/3/19,192,0,3
2020/3/20,359,0,4
2020/3/21,670,0,9
2020/3/22,1236,0,30
2020/3/23,1529,0,37
2020/3/24,1872,0,44
2020/3/25,2433,26,59
2020/3/26,3629,26,75
2020/3/27,5698,42,92
2020/3/28,7402,70,108
2020/3/29,9217,105,131
2020/3/30,10827,162,168
2020/3/31,13531,243,214
2020/4/1,15679,333,277
2020/4/2,18135,415,356
2020/4/3,20921,484,425
2020/4/4,23934,786,501
2020/4/5,27069,1042,574
2020/4/6,30217,1326,649
2020/4/7,34109,1582,725
2020/4/8,38226,1846,812
2020/4/9,42282,2142,908
2020/4/10,47029,2423,1006
2020/4/11,52167,2965,1101
2020/4/12,56956,3446,1198
2020/4/13,61049,3957,1296
2020/4/14,65111,4799,1403
2020/4/15,69392,5674,1518
2020/4/16,74193,7089,1643
2020/4/17,78546,8631,1769
2020/4/18,82329,10453,1890
2020/4/19,86306,11976,2017
2020/4/20,90980,13430,2140
2020/4/21,95591,14918,2259
2020/4/22,98674,16477,2376
2020/4/23,101790,18491,2491
2020/4/24,104912,21737,2600
2020/4/25,107773,25582,2706
2020/4/26,110130,29140,2805
2020/4/27,112261,33791,2900
2020/4/28,114653,38809,2992
2020/4/29,117589,44040,3081
2020/4/30,120204,48886,3174
2020/5/1,122392,53808,3258
2020/5/2,124375,58259,3336
2020/5/3,126045,63151,3397
2020/5/4,127659,68166,3461
2020/5/5,129491,73285,3520
2020/5/6,131744,78202,3584
2020/5/7,133721,82984,3641
2020/5/8,135569,86396,3689
2020/5/9,137115,89480,3739
2020/5/10,138657,92691,3786
2020/5/11,139771,95780,3841
2020/5/12,141475,98889,3894
2020/5/13,143114,101715,3952
2020/5/14,144749,104030,4007
2020/5/15,146457,106133,4055
2020/5/16,148067,108137,4096
2020/5/17,149435,109962,4140
2020/5/18,150593,111577,4171
2020/5/19,151615,112895,4199
2020/5/20,152587,113987,4222
2020/5/21,153548,114990,4249
2020/5/22,154500,116111,4276
2020/5/23,155686,117602,4308
2020/5/24,156827,118694,4340
2020/5/25,157814,120015,4369
2020/5/26,158762,121507,4397
2020/5/27,159797,122793,4431
2020/5/28,160979,124369,4461
2020/5/29,162120,125963,4489
2020/5/30,163103,126984,4515
2020/5/31,163942,127973,4540
2020/6/1,164769,128947,4563
2020/6/2,165555,129921,4585
2020/6/3,166422,130852,4609
2020/6/4,167410,131778,4630
2020/6/5,168340,133400,4648
2020/6/6,169218,135322,4669
2020/6/7,170132,137969,4692
2020/6/8,171121,141380,4711
2020/6/9,172114,144598,4729
2020/6/10,173036,146839,4746
2020/6/11,174023,147860,4763
2020/6/12,175218,149102,4778
2020/6/13,176677,150087,4792
2020/6/14,178239,151417,4807
2020/6/15,179831,152364,4825
2020/6/16,181298,153379,4842
2020/6/17,182727,154640,4861
2020/6/18,184031,156022,4882
2020/6/19,185245,157516,4905
2020/6/20,186493,158828,4927
2020/6/21,187685,160240,4950
2020/6/22,188897,161533,4974
2020/6/23,190165,162848,5001
2020/6/24,191657,164234,5025
2020/6/25,193115,165706,5046
2020/6/26,194511,167198,5065
2020/6/27,195883,169182,5082
2020/6/28,197239,170595,5097
2020/6/29,198613,171809,5115
2020/6/30,199906,173111,5131
2020/7/1,201098,175422,5150
2020/7/2,202284,176965,5167
2020/7/3,203456,178278,5186
2020/7/4,204610,179492,5206
2020/7/5,205758,180680,5225
2020/7/6,206844,182995,5241
2020/7/7,207897,185292,5260
2020/7/8,208938,187511,5282
2020/7/9,209962,190390,5300
2020/7/10,210965,191883,5323
2020/7/11,211981,193217,5344
2020/7/12,212993,194515,5363
2020/7/13,214001,195671,5382
2020/7/14,214993,196720,5402
2020/7/15,215940,197733,5419
2020/7/16,216873,198820,5440
2020/7/17,217799,199834,5458
2020/7/18,218717,201013,5475
2020/7/19,219641,202010,5491
2020/7/20,220572,203002,5508
2020/7/21,221500,204011,5526
2020/7/22,222402,205214,5545
2020/7/23,223315,206365,5563
2020/7/24,224252,207374,5580
2020/7/25,225173,208477,5596
2020/7/26,226100,209487,5613
2020/7/27,227019,210469,5630
2020/7/28,227982,211561,5645
2020/7/29,228924,212557,5659
2020/7/30,229891,213539,5674
2020/7/31,230873,214535,5691
2020/8/1,231869,215516,5710
2020/8/2,232856,216494,5728
2020/8/3,233851,217497,5747
2020/8/4,234934,218491,5765
2020/8/5,236112,219506,5784
2020/8/6,237265,220546,5798
2020/8/7,238450,221574,5813
2020/8/8,239622,222656,5829
2020/8/9,240804,223759,5844
2020/8/10,241997,224970,5858
2020/8/11,243180,226155,5873
2020/8/12,244392,227089,5891
2020/8/13,245635,228057,5912
2020/8/14,246861,228980,5934
2020/8/15,248117,229972,5955
2020/8/16,249309,230969,5974
2020/8/17,250542,231971,5996
2020/8/18,251805,232913,6016
2020/8/19,253108,233915,6039
2020/8/20,254520,234797,6058
2020/8/21,255723,235569,6080
2020/8/22,257032,236370,6102
2020/8/23,258249,237165,6121
2020/8/24,259692,237908,6139
2020/8/25,261194,238795,6163
2020/8/26,262507,239797,6183
2020/8/27,263998,240792,6209
2020/8/28,265515,241809,6245
2020/8/29,267064,242812,6284
2020/8/30,268546,243839,6326
2020/8/31,270133,244926,6370
2020/9/1,271705,245929,6417
2020/9/2,273301,246876,6462
2020/9/3,274943,248087,6511
2020/9/4,276555,249108,6564
2020/9/5,278228,250092,6620
2020/9/6,279806,251105,6673
2020/9/7,281509,252152,6730
2020/9/8,283270,253245,6782
2020/9/9,284943,254188,6837
2020/9/10,286455,255407,6895
2020/9/11,288126,256524,6951
2020/9/12,289635,257731,6999
2020/9/13,291162,258833,7056
2020/9/14,292878,260058,7119
2020/9/15,294620,261260,7186
