Date,Infected individuals,Recovered individuals,Death caused by COVID-19
2020/1/22,1,0,0
2020/1/23,1,0,0
2020/1/24,2,0,0
2020/1/25,2,0,0
2020/1/26,5,0,0
2020/1/27,5,0,0
2020/1/28,5,0,0
2020/1/29,5,0,0
2020/1/30,5,0,0
2020/1/31,7,0,0
2020/2/1,8,0,0
2020/2/2,8,0,0
2020/2/3,11,0,0
2020/2/4,11,0,0
2020/2/5,11,0,0
2020/2/6,11,0,0
2020/2/7,11,0,0
2020/2/8,11,0,0
2020/2/9,11,3,0
2020/2/10,11,3,0
2020/2/11,12,3,0
2020/2/12,12,3,0
2020/2/13,13,3,0
2020/2/14,13,3,0
2020/2/15,13,3,0
2020/2/16,13,3,0
2020/2/17,13,3,0
2020/2/18,13,3,0
2020/2/19,13,3,0
2020/2/20,13,3,0
2020/2/21,15,5,0
2020/2/22,15,5,0
2020/2/23,15,5,0
2020/2/24,15,5,0
2020/2/25,15,6,0
2020/2/26,15,6,0
2020/2/27,16,6,0
2020/2/28,16,7,0
2020/2/29,24,7,1
2020/3/1,30,7,1
2020/3/2,52,7,6
2020/3/3,72,7,7
2020/3/4,103,7,11
2020/3/5,172,7,12
2020/3/6,215,7,14
2020/3/7,337,7,17
2020/3/8,450,7,21
2020/3/9,515,7,22
2020/3/10,713,8,28
2020/3/11,1105,8,33
2020/3/12,1530,12,43
2020/3/13,2115,12,51
2020/3/14,2814,12,58
2020/3/15,2986,12,70
2020/3/16,4354,17,97
2020/3/17,5970,17,132
2020/3/18,8386,105,191
2020/3/19,12674,121,265
2020/3/20,18736,147,364
2020/3/21,24508,176,463
2020/3/22,33152,178,573
2020/3/23,43850,178,762
2020/3/24,54112,348,1001
2020/3/25,66055,361,1325
2020/3/26,83611,681,1733
2020/3/27,102101,869,2253
2020/3/28,122059,1072,2886
2020/3/29,141205,2665,3472
2020/3/30,162707,5644,4164
2020/3/31,188744,7024,5249
2020/4/1,214205,8474,6421
2020/4/2,244610,9001,7924
2020/4/3,276547,9707,9316
2020/4/4,309699,14652,10839
2020/4/5,337573,17448,12429
2020/4/6,367215,19581,14199
2020/4/7,397992,21763,16770
2020/4/8,429686,23559,18916
2020/4/9,464442,25410,21144
2020/4/10,497943,28790,23362
2020/4/11,527969,31270,25481
2020/4/12,556522,32988,27294
2020/4/13,581813,43482,29240
2020/4/14,608878,47763,31695
2020/4/15,637974,52096,34304
2020/4/16,669272,54703,36480
2020/4/17,701996,58545,38573
2020/4/18,730266,64840,40533
2020/4/19,756544,70337,42464
2020/4/20,783931,72329,44650
2020/4/21,809295,75204,47198
2020/4/22,837627,77366,49632
2020/4/23,871617,80203,52101
2020/4/24,907908,99079,54255
2020/4/25,940829,100372,55953
2020/4/26,968518,106988,57282
2020/4/27,990983,111424,58748
2020/4/28,1015518,115936,60989
2020/4/29,1043038,120720,63510
2020/4/30,1072667,153947,65832
2020/5/1,1106829,164015,67723
2020/5/2,1136024,175382,69415
2020/5/3,1161611,180152,70535
2020/5/4,1184086,187180,71868
2020/5/5,1208271,189791,74186
2020/5/6,1233527,189910,76550
2020/5/7,1261409,195036,78484
2020/5/8,1288587,198993,80231
2020/5/9,1314320,212534,81719
2020/5/10,1334084,216169,82612
2020/5/11,1352962,232733,83626
2020/5/12,1375152,230287,85253
2020/5/13,1396110,243430,87017
2020/5/14,1423727,246414,88800
2020/5/15,1449027,250747,90481
2020/5/16,1474128,268376,91697
2020/5/17,1493132,272265,92455
2020/5/18,1514901,283178,93627
2020/5/19,1535350,289392,95179
2020/5/20,1559157,294312,96705
2020/5/21,1584512,298418,97922
2020/5/22,1608653,350135,99166
2020/5/23,1630476,361239,100275
2020/5/24,1651289,366736,100897
2020/5/25,1670280,379157,101445
2020/5/26,1689163,384902,102107
2020/5/27,1707445,391508,103625
2020/5/28,1730260,399991,104803
2020/5/29,1754764,406446,105963
2020/5/30,1779214,416461,106926
2020/5/31,1799124,444758,107507
2020/6/1,1816479,458231,108283
2020/6/2,1837374,463868,109351
2020/6/3,1857332,479258,110358
2020/6/4,1878683,485002,111381
2020/6/5,1903907,491706,112295
2020/6/6,1926639,500849,112954
2020/6/7,1944370,506367,113392
2020/6/8,1961785,518522,113911
2020/6/9,1979912,524855,114861
2020/6/10,2000706,533504,115762
2020/6/11,2023656,540292,116633
2020/6/12,2048986,547386,117461
2020/6/13,2074542,556606,118220
2020/6/14,2094366,561816,118528
2020/6/15,2114026,576334,118922
2020/6/16,2137731,583503,119760
2020/6/17,2163290,592191,120504
2020/6/18,2191099,599115,121222
2020/6/19,2222579,606715,121892
2020/6/20,2255328,617460,122496
2020/6/21,2281767,622133,122781
2020/6/22,2312303,640198,123170
2020/6/23,2347491,647548,124017
2020/6/24,2382426,656161,124776
2020/6/25,2422299,663562,125327
2020/6/26,2467554,670809,125944
2020/6/27,2510259,679308,126448
2020/6/28,2549864,685164,126721
2020/6/29,2590668,705203,127098
2020/6/30,2636414,720631,127723
2020/7/1,2687588,729994,128417
2020/7/2,2742049,781970,129144
2020/7/3,2795361,790404,129804
2020/7/4,2841241,894325,130069
2020/7/5,2891124,906763,130357
2020/7/6,2936077,924148,130712
2020/7/7,2996098,936476,131934
2020/7/8,3054699,953462,132797
2020/7/9,3117946,969111,133800
2020/7/10,3185737,983185,134624
2020/7/11,3245925,995576,135314
2020/7/12,3304942,1006326,135773
2020/7/13,3364157,1031939,136140
2020/7/14,3431574,1049098,137066
2020/7/15,3498902,1075882,138034
2020/7/16,3576157,1090645,138977
2020/7/17,3647715,1107204,139907
2020/7/18,3711413,1122720,140775
2020/7/19,3773260,1131121,141222
2020/7/20,3834677,1160087,141736
2020/7/21,3899211,1182018,142843
2020/7/22,3970121,1210849,144059
2020/7/23,4038816,1233269,145153
2020/7/24,4112531,1261624,146285
2020/7/25,4178970,1279414,147184
2020/7/26,4233923,1297863,147656
2020/7/27,4290337,1325804,148776
2020/7/28,4356206,1355363,150150
2020/7/29,4426982,1389425,151582
2020/7/30,4495015,1414155,152791
2020/7/31,4562107,1438160,154034
2020/8/1,4620592,1461885,155149
2020/8/2,4668172,1468689,155552
2020/8/3,4713540,1513446,156082
2020/8/4,4771080,1528979,157460
2020/8/5,4823890,1577851,158836
2020/8/6,4883582,1598624,160089
2020/8/7,4941755,1623870,161331
2020/8/8,4997929,1643118,162408
2020/8/9,5044864,1656864,162919
2020/8/10,5094400,1670755,163446
2020/8/11,5141208,1714960,164510
2020/8/12,5197411,1753760,166015
2020/8/13,5248958,1774648,167085
2020/8/14,5313252,1796326,168423
2020/8/15,5361165,1818527,169457
2020/8/16,5403213,1833067,170028
2020/8/17,5438325,1865580,170474
2020/8/18,5483388,1898159,171799
2020/8/19,5529824,1925049,173152
2020/8/20,5573847,1947035,174231
2020/8/21,5622470,1965056,175336
2020/8/22,5667070,1985484,176318
2020/8/23,5701645,1997761,176768
2020/8/24,5739536,2020774,177210
2020/8/25,5777710,2053699,178449
2020/8/26,5821819,2084465,179674
2020/8/27,5867785,2101326,180785
2020/8/28,5913941,2118367,181756
2020/8/29,5961094,2140614,182714
2020/8/30,5996431,2153939,183024
2020/8/31,6030587,2184825,183597
2020/9/1,6073840,2202663,184664
2020/9/2,6113510,2231757,185720
2020/9/3,6150016,2266957,186790
2020/9/4,6200518,2283454,187755
2020/9/5,6244970,2302187,188538
2020/9/6,6276365,2315995,188941
2020/9/7,6300622,2333551,189208
2020/9/8,6327009,2359111,189653
2020/9/9,6360212,2387479,190859
2020/9/10,6396100,2403511,191766
2020/9/11,6443652,2417878,192979
2020/9/12,6485123,2434658,193693
2020/9/13,6519573,2451406,194071
2020/9/14,6553652,2474570,194493
2020/9/15,6605733,2495127,195915
