Country,Population,R0,Rt,t*,T,Δt
Austria,8.840.521,4.38±0.36,0.45±0.01,13.37±0.68,6.49±0.47,8.33±1.70
Belgium,11.433.256,5.00±0.73,0.54±0.03,13.31±2.84,19.30±1.57,4.00±2.35
Bulgaria,7.025.037,1.29±0.04,0.99±0.07,37.04±1.99,1.64±1.56,43.00±2.83
Croatia,4.087.843,0.93±0.22,0.49±0.03,22.36±2.90,2.46±3.61,27.33±2.36
Cyprus,1.189.265,3.35±1.14,0.50±0.02,6.60±2.87,8.02±1.47,14.00±0.00
Czech Republic,10.629.928,2.92±0.47,0.60±0.01,14.04±1.71,8.44±1.12,14.00±1.73
Denmark,5.793.636,2.00±0.05,0.81±0.01,24.74±0.29,1.72±0.45,24.00±2.92
Estonia,1.321.977,3.12±0.78,0.45±0.04,10.72±3.80,14.19±2.87,12.50±2.06
Finland,5.515.525,1.62±0.05,0.92±0.01,25.05±0.51,1.20±0.68,24.25±2.49
France,66.977.107,3.46±0.29,0.62±0.02,24.79±1.30,10.58±1.17,10.50±1.50
Germany,82.905.782,6.33±0.64,0.58±0.01,17.06±1.39,12.41±0.71,3.25±1.92
Greece,10.731.726,1.66±0.12,0.61±0.02,18.93±0.87,4.38±1.22,17.33±3.09
Hungary,9.775.564,1.97±0.55,0.37±0.15,25.62±6.55,20.23±7.33,31.67±1.89
Ireland,4.867.309,1.94±0.06,0.57±0.03,30.78±0.53,5.94±1.28,30.00±3.46
Italy,60.421.760,4.25±0.42,0.74±0.01,19.24±1.57,12.06±1.13,5.00±0.71
Latvia,1.927.174,2.50±0.89,0.76±0.01,6.99±1.32,2.70±0.90,14.67±1.89
Lithuania,2.801.543,0.91±0.88,0.41±0.09,26.23±9.88,2.25±6.25,34.67±1.89
Luxembourg,607.95,2.42±1.21,0.46±0.01,5.77±4.20,8.78±1.88,10.00±2.35
Malta,484.63,2.08±0.14,0.51±0.03,16.24±0.42,1.21±0.51,23.00±0.00
Netherlands,17.231.624,5.88±0.88,0.49±0.03,7.61±3.12,23.25±1.92,0.75±2.77
Poland,37.974.750,2.62±0.26,0.96±0.01,18.15±1.47,7.38±1.47,20.33±0.94
Portugal,10.283.822,5.10±0.86,0.73±0.02,8.93± 1.86,10.40±1.22,8.67±2.62
Romania,19.466.145,6.06±0.84,0.95±0.01,8.12±1.60,11.55±0.70,8.33±2.36
Slovakia,5.446.771,1.46±0.04,0.28±0.03,31.80±0.47,2.65±0.70,40.25±0.43
Slovenia,2.073.894,3.83±0.96,0.44±0.03,4.65±3.50,15.33±1.96,6.33±2.36
Spain,46.796.540,5.19±0.50,0.57±0.01,15.90±1.17,10.70±0.69,5.50±2.60
Sweden,10.175.214,1.89±0.09,1.01±0.03,29.70±1.30,7.99±2.65,23.75±2.77
European Union,446.786.293,4.22±1.69,0.67±0.18,18.61±6.43,10.82±4.65,17.24±2.00
